age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity,convective_turnover_time,mass_loss_rate
1e-05,6.954922050678926,2.3999999999999995,0.514402207066706,0.0079977893621355,1.880000108100032e-06,0.1982079570675688,26.788292187888278,15458005.047948256,1.481174513250129e-11
0.00025958682112,6.954921978757428,2.3999999999999937,0.5144022067633736,0.0079977893621332,1.8800001447628987e-06,0.1982079609340005,26.788043236256893,15458180.719871216,1.4811542494011155e-11
0.0018668799962237,6.9549219687436,2.399999999999969,0.5144022048056863,0.007997789362148,1.8800001358518383e-06,0.1982079599978218,26.78806296088604,15458025.39895875,1.48115563102295e-11
0.0118188156899884,6.954921808453856,2.399999999999821,0.5144021926782644,0.0079977893621456,1.8800001337456e-06,0.1982079597969223,26.78806495656712,15458036.617599418,1.4811557493738042e-11
0.0734385783984542,6.954920780419076,2.399999999998908,0.5144021175842096,0.0079977893621251,1.8800001399131297e-06,0.1982079605735371,26.78805731126332,15458031.421274448,1.4811552160346273e-11
0.4549719075001067,6.954914415597077,2.399999999993256,0.5144016526175362,0.0079977893621269,1.8800001778271083e-06,0.1982079653469211,26.78801532467742,15458060.999189476,1.4811521580039387e-11
2.817325717658333,6.954875003101092,2.399999999958266,0.5143987736974605,0.0079977893621262,1.880000414537514e-06,0.1982079951037477,26.78775522780989,15458066.744977431,1.4811331755156347e-11
17.444397846610435,6.954630991393113,2.399999999741628,0.514380949491386,0.0079977893621275,1.8800018788171363e-06,0.1982081792810952,26.78614755685419,15457983.979917975,1.481015736167413e-11
108.01137310051504,6.953120865794441,2.3999999984006872,0.5142706370675411,0.007997789362128,1.88001091519904e-06,0.1982093194811197,26.776191106153185,15457475.291018572,1.4802890816206815e-11
668.7782124467157,6.943798714751744,2.3999999901138804,0.5135895455909569,0.0079977893621245,1.880065615042106e-06,0.1982163589709927,26.71477240964313,15454346.80223567,1.47580604626116e-11
4140.898676100714,6.887129683924927,2.399999939403477,0.682740605118546,0.0179177894664603,1.2096643983739616e-05,0.1982407379376327,26.34772926036267,14656184.34555271,1.4489520367160879e-11
22134.00486872371,6.619261523505933,2.3999996920525963,0.9591948272886645,0.0537119095423022,6.595252513605269e-05,0.1983089333247354,24.62875036735564,13362060.59556686,1.3152439588786916e-11
50208.95538927389,6.269036525772025,2.3999993518996976,1.2267828391997595,0.1108415468162623,0.0005407671799954,0.1980517926585477,22.43344268195839,11956794.033296663,1.134796134279283e-11
82753.33213087598,5.9382372414388165,2.3999990116571714,1.419407561326066,0.1906638230786184,0.0015000586709156,0.1971927577564926,20.44383831215572,10934771.2975062,9.794992927726173e-12
120489.44304128247,5.626386063652421,2.3999986711231256,1.5803388090576842,0.2931374345687336,0.0033098258830229,0.1953666500394104,18.62811045340316,10022497.759221414,8.455765449469397e-12
164278.02329373374,5.332910683097812,2.399998329826455,1.662523275061038,0.3854953050690643,0.0054407236572253,0.193089699015647,16.977152477015313,9359848.723534854,7.303885769781275e-12
215168.1330088401,5.057138813587092,2.399997986933436,1.7381131328272468,0.4956637888779244,0.0085600933091972,0.1896054371492304,15.493307768513615,8747135.54980315,6.319785397582406e-12
274474.0276487124,4.798272757491554,2.3999976409586656,1.7851082053474336,0.6062882273160642,0.0122652598457065,0.1852550615777072,14.153258316530112,8182313.871647906,5.475454439167792e-12
343708.4227823198,4.555972110928944,2.399997290497361,1.8273139900364024,0.7312135060890754,0.0171013386812078,0.1793830697802867,12.95406102621177,7534148.047853112,4.757921729903684e-12
424803.1795481534,4.329872811359071,2.399996933293226,1.8630397824403448,0.8678396228017662,0.0231160783299027,0.1718154145133635,11.884735681840343,7060218.010706811,4.1460294611928914e-12
520075.951250752,4.120021670465071,2.399996566621968,1.8914081601120691,1.0129086294028726,0.0302328088552041,0.1624633967255186,10.945796587496789,6410953.351468982,3.631035571388371e-12
632545.2703298671,3.926619687887441,2.3999961861498127,1.899929573456586,1.149553695856575,0.037349063067445,0.1522046494545243,10.13680508604895,5923111.697998324,3.2030961351185653e-12
766203.4958773879,3.7505838220779135,2.399995785446108,1.9241947881066368,1.31338522847874,0.0465917215353686,0.1385627839261704,9.46015750342792,5394307.382845032,2.8516672754902266e-12
926746.0198341166,3.5939339641344006,2.399995353729295,1.9470289691412823,1.4823678763322004,0.0563826409746536,0.1226063910275548,8.93257009356521,4766830.491412705,2.5757122734979784e-12
1122924.8908428238,3.461745128786041,2.399994871722987,1.9868124956960893,1.674956382719101,0.0665593618986248,0.1027845563455655,8.59117034665716,4159650.520875327,2.3790091256468644e-12
1371517.1705969688,3.3673309968919365,2.399994295644676,2.0487761391254584,1.87416048612299,0.0770292105034511,0.0789930547336488,8.55636974247849,3480884.5716164056,2.2909157186732724e-12
1672297.789452717,3.3563596062116385,2.399993594057773,2.1875906746438813,2.087902778324284,0.0852863716600542,0.0504626444647325,9.137919205220124,2629513.942830946,2.4102621068138977e-12
